kepid,kepoi_name,kepler_name,koi_disposition,koi_pdisposition,koi_score,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_period,koi_time0bk,koi_impact,koi_duration,koi_depth,koi_prad,koi_teq,koi_insol,koi_model_snr,koi_tce_plnt_num,koi_tce_delivname,koi_steff,koi_slogg,koi_srad,ra,dec,koi_kepmag
8689373,K00921.03,Kepler-253 b,CONFIRMED,CANDIDATE,1.0,0,0,0,0,3.78402867,133.28133,0.691,1.9012,426.1,1.7,949.0,191.78,25.6,3,q1_q17_dr25_tce,5196.0,4.593,0.775,291.84198,44.858089,15.532
8826878,K00922.01,Kepler-727 b,CONFIRMED,CANDIDATE,1.0,0,0,0,0,5.15448142,171.6389,0.933,3.228,697.5,2.94,964.0,204.1,48.1,1,q1_q17_dr25_tce,5431.0,4.457,0.884,294.84689,45.034409,15.365
8883593,K00923.01,Kepler-728 b,CONFIRMED,CANDIDATE,1.0,0,0,0,0,5.743469797,174.898924,0.001,3.4412,1240.2,3.13,982.0,219.95,79.7,1,q1_q17_dr25_tce,5897.0,4.531,0.891,291.09235,45.115528,15.543
9077124,K00926.01,Kepler-729 b,CONFIRMED,CANDIDATE,1.0,0,0,0,0,3.166353562,170.966145,0.032,3.3129,1473.4,3.82,1273.0,621.92,128.3,1,q1_q17_dr25_tce,6007.0,4.47,0.998,286.36011,45.414291,15.603
9141746,K00929.01,Kepler-730 b,CONFIRMED,CANDIDATE,1.0,0,0,0,0,6.491682808,174.633553,0.535,4.301,7163.3,9.66,1062.0,301.54,502.3,1,q1_q17_dr25_tce,6123.0,4.413,1.107,285.55481,45.578861,15.649
9141746,K00929.02,Kepler-730 c,CONFIRMED,CANDIDATE,0.994,0,0,0,0,2.85188338,132.1455,0.578,2.666,114.9,1.23,1398.0,903.77,10.1,2,q1_q17_dr25_tce,6123.0,4.413,1.107,285.55481,45.578861,15.649
9166862,K00931.01,Kepler-731 b,CONFIRMED,CANDIDATE,0.999,0,0,0,0,3.855603916,170.6787843,0.348,3.2179,16652.7,13.61,1212.0,508.65,1173.9,1,q1_q17_dr25_tce,6033.0,4.46,1.046,296.39316,45.568562,15.272
9334289,K00934.01,Kepler-254 b,CONFIRMED,CANDIDATE,1.0,0,0,0,0,5.826657508,173.011411,0.033,2.9183,1539.1,4.09,1013.0,248.57,81.1,1,q1_q17_dr25_tce,5561.0,4.362,1.06,288.1647,45.816509,15.843
9334289,K00934.02,Kepler-254 c,CONFIRMED,CANDIDATE,0.998,0,0,0,0,12.41216347,142.54039,0.021,3.739,611.3,2.58,787.0,90.65,25.6,3,q1_q17_dr25_tce,5561.0,4.362,1.06,288.1647,45.816509,15.843
9334289,K00934.03,Kepler-254 d,CONFIRMED,CANDIDATE,1.0,0,0,0,0,18.74649011,147.13074,0.508,3.895,796.8,3.05,686.0,52.38,26.7,2,q1_q17_dr25_tce,5561.0,4.362,1.06,288.1647,45.816509,15.843
9347899,K00935.01,Kepler-31 b,CONFIRMED,CANDIDATE,1.0,0,0,0,0,20.86021229,180.017757,0.066,5.1937,1910.5,5.5,781.0,87.76,117.0,1,q1_q17_dr25_tce,6035.0,4.22,1.257,294.02301,45.853081,15.237
9347899,K00935.02,Kepler-31 c,CONFIRMED,CANDIDATE,1.0,0,0,0,0,42.63427848,141.16954,0.142,6.1998,1719.3,5.22,615.0,33.82,78.7,2,q1_q17_dr25_tce,6035.0,4.22,1.257,294.02301,45.853081,15.237
9347899,K00935.03,Kepler-31 d,CONFIRMED,CANDIDATE,0.973,0,0,0,0,87.6476068,134.94222,0.147,8.871,1009.6,4.0,484.0,12.94,37.5,3,q1_q17_dr25_tce,6035.0,4.22,1.257,294.02301,45.853081,15.237
9388479,K00936.01,Kepler-732 b,CONFIRMED,CANDIDATE,0.953,0,0,0,0,9.467821474,178.415842,0.081,2.4327,2237.0,2.13,407.0,6.47,124.7,1,q1_q17_dr25_tce,3582.0,4.807,0.458,283.73203,45.958771,15.073
9388479,K00936.02,Kepler-732 c,CONFIRMED,CANDIDATE,0.704,0,0,0,0,0.893040969,134.540342,0.009,1.0981,741.7,1.24,893.0,151.14,87.8,2,q1_q17_dr25_tce,3582.0,4.807,0.458,283.73203,45.958771,15.073
